        "capiendorum POKéMO\n"
BALL = PILA

2: "?????"
1503: "A pass for ferries\n"
1504: "between ONE, TWO,\n"
1505: "and THREE ISLAND.");
1508: "For ferries serving\n"
1509: "VERMILION and the\n"
1510: "SEVII ISLANDS.");
1513: "A thirst-quenching\n"
1514: "tea prepared by an\n"
1515: "old lady.");
1518: "A ticket required\n"
1519: "to board the ship\n"
1520: "to NAVEL ROCK.");
1523: "A ticket required\n"
1524: "to board the ship\n"
1525: "to BIRTH ISLAND.");
1528: "Stores BERRY\n"
1529: "POWDER made using\n"
1530: "a BERRY CRUSHER.");
1533: "An exquisite, red-\n"
1534: "glowing gem that\n"
1535: "symbolizes passion.");
1538: "A brilliant blue gem\n"
1539: "that symbolizes\n"
1540: "honesty.");
1544: "A medal-like item in\n"
1545: "the same shape as\n"
1546: "TEAM MAGMA's mark.");
1549: "A faded sea chart\n"
1550: "that shows the way\n"
1551: "to a certain island.");
